contract_id,vendor,agency,amount,tier,triage_priority,markup_pct,markup_ci_lower,markup_ci_upper,bayesian_posterior,raw_pvalue,fdr_adjusted_pvalue,survives_fdr,log_zscore,comparables,expected_recoverable,run_id,dataset_hash,config_hash
0058,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",Department of Defense,32077524.0,RED,10,16.71,15.40,17.90,0.884200,0.000100,0.000245,1,-0.0766,25853,4592712.07,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
0065,THE BOEING COMPANY,Department of Defense,27871215.0,RED,10,1.41,0.30,2.50,0.926500,0.008000,0.019185,1,-0.2473,25853,387520.10,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
0094,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",Department of Defense,28563713.15,RED,10,3.93,2.70,5.10,0.884200,0.000100,0.000245,1,-0.2175,25853,1080105.77,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
0118,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",Department of Defense,40235885.0,RED,10,46.39,44.70,48.00,0.927600,0.000100,0.000245,1,0.1987,25853,12750479.58,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
0123,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",Department of Defense,34929922.91,RED,10,27.09,25.60,28.60,0.927600,0.000100,0.000245,1,0.0269,25853,7445523.74,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
0166,THE BOEING COMPANY,Department of Defense,29366706.53,RED,10,6.85,5.70,8.00,0.884200,0.000100,0.000245,1,-0.1838,25853,1882657.37,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
0245,THE BOEING COMPANY,Department of Defense,34927011.35,RED,10,27.08,25.80,28.80,0.884200,0.000100,0.000245,1,0.0268,25853,7442740.54,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
0126,THE BOEING COMPANY,Department of Defense,213522020.84,RED,12,667.03,659.50,675.50,0.884200,0.000100,0.000245,1,1.9251,26083,185684515.03,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
0275,THE BOEING COMPANY,Department of Defense,238683873.84,RED,12,757.42,749.10,767.00,0.884200,0.000100,0.000245,1,2.0458,26083,210846422.67,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
0132,LOCKHEED MARTIN CORPORATION,Department of Defense,651104357.25,RED,14,2238.95,2216.10,2263.30,0.622200,0.000100,0.000245,1,3.1334,26083,623266893.55,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
0139,"KBR SERVICES, LLC",Department of Defense,7865825758.15,RED,14,3543.23,3428.50,3687.90,0.622200,0.000100,0.000245,1,3.4077,3034,7649923227.75,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
0147,"KBR SERVICES, LLC",Department of Defense,331453620.44,RED,14,1090.67,1078.50,1105.10,0.622200,0.000100,0.000245,1,2.4016,26083,303616048.28,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
0159,"KBR SERVICES, LLC",Department of Defense,8949368388.58,RED,14,4045.10,3918.10,4194.00,0.622200,0.000100,0.000245,1,3.5405,3034,8733466036.68,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
0162,NORTHROP GRUMMAN SYSTEMS CORPORATION,Department of Defense,377001568.33,RED,14,1254.29,1240.70,1269.90,0.622200,0.000100,0.000245,1,2.5412,26083,349163987.88,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
0169,"GM GDLS DEFENSE GROUP, L.L.C.",Department of Defense,274708825.79,RED,14,886.83,878.30,897.90,0.622200,0.000100,0.000245,1,2.1982,26083,246871323.30,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
0269,"GM GDLS DEFENSE GROUP, L.L.C.",Department of Defense,355111236.0,RED,14,1175.66,1162.70,1189.60,0.622200,0.000100,0.000245,1,2.4763,26083,327273784.33,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
12314419F0082,CELLCO PARTNERSHIP,Department of Agriculture,110784476.48,RED,14,442.12,410.60,459.40,0.566200,0.000100,0.000245,1,2.9256,633,90349060.62,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
12314420F0355,CARAHSOFT TECHNOLOGY CORP,Department of Agriculture,294798840.99,RED,14,1342.59,1260.00,1388.50,0.666000,0.000100,0.000245,1,4.8671,633,274363454.57,run_20260212_154542_42,8bae4c80c02a2ff6b9bcdb39d9ca34be3bf0c90e9a1142843127c24eac3dda0b,3512871700d2f1e5e18117b95d0ceaf8f1c83e9eec428a2dd49f766c4ce5f926
